name,source,task_type,size,license,vocalization,schema,download,usage_notes,local_path,ladder_use
"Tashkeelav2 (arbml)","HF: arbml/tashkeelav2","diacritization","license blank; download traced diac.","unknown","fully vocalized","parquet","https://huggingface.co/datasets/arbml/tashkeelav2","Cleanup pass of arbml v1; low downloads (55) - only if v1 has a known bug that v2 fixes.","","medium"
"Roots-G5 ar_tashkeela (bigscience-data)","HF: bigscience-data/roots_ar_tashkeela (ROOTS/BLOOM corpus)","diacritization / raw-LM","ROOTS string news-cluster subset","GPL-2","fully vocalized (ROOTS per-sentence windows)","parquet","https://huggingface.co/datasets/bigscience-data/roots_ar_tashkeela","ROOTS subset pre-sliced to sentences - matches our G2 window style; gated(auto) on HF.","","high"
"Athar-Shamela4","HF: Kandil7/Athar-Shamela4 (Exa answer cites ~19GB; >8,500 classical books)","raw-LM + vocalized classical","~19GB extraction; 2,592 downloads","MIT (card verified)","mostly vocalized classical (Shamela extraction)","text/carpet extraction","https://huggingface.co/datasets/Kandil7/Athar-Shamela4","Jackpot candidate if verified: 19GB fully vocalized classical; MUST vet tashkeel-rate (filter >70% characters for speech-safety) + Shamela.ws TOS.","","high (verify)"
"Shamela (ReligiousLLMs repack)","HF: ReligiousLLMs/shamela_all_diacritized_fully; upstream shamela.ws","vocalized classical","~1.67GB portion inside Abdou dataset; full repo unknown size","unknown (ReligiousLLMs card has no license; shamela.ws TOS unknown)","fully vocalized (classical books)","jsonl/json-parquet","https://huggingface.co/datasets/ReligiousLLMs/shamela_all_diacritized_fully","Same content already inside Abdou train (42% share) - skip unless we need uncapped classical LADDER pretrain.","","high (dup of abdou slice)"
"CATT benchmark","HF: Bisher/CATT_benchmark + GitHub abjadai/catt; paper arXiv:2407.03236","diacritization (eval benchmark)","742 gold lines; 343KB; small benchmark","Apache-2.0 (catt repo verified); upstream text license unclear","fully diacritized MSA gold","parquet: output(vocalized), input(bare)","https://github.com/abjadai/catt/blob/main/benchmarking/all_models_CATT_data/CATT_data_gt.txt","Second standard benchmark after WikiNews-2014; keep as eval-only, small.","","high (eval)"
"Google wiki40b (ar split)","GitHub: google-research-datasets/wiki40b; HF google/wiki40b","raw-LM (bare text mostly, some pages with vocalization)","ar sub-split: 363K pages (TFDS catalog)","data card license blank; content effectively CC-BY-SA 3.0/GFDL (Wikipedia)","mixed: pages vary vocalization (often bare)","parquet: text per-article","https://huggingface.co/datasets/google/wiki40b (config ar)","Pretrained LM corpus (fast access, flat text, per-article hierarchy). Useful only if a diacritization-rate pre-filter is applied.","","medium"
"wikimedia/wikipedia (20231101.ar)","HF: wikimedia/wikipedia","raw-LM (bare)","full Arabic Wikipedia wall-clock ~2023-11-01 (~700k articles, ~1.6GB)","CC-BY-SA 3.0 / GFDL","bare (no tashkeel)","parquet full-article","https://huggingface.co/datasets/wikimedia/wikipedia (config 20231101.ar)","Cleanest bare-Arabic pretraining body; pairs with Abdou vocalized for (vocalized vs bare) mixtures.","","medium"
"mC4 / allenai c4 (ar subset)","HF: allenai/c4 (config multilingual, ar); AllenAI C4 / C4-200M etc.","raw-LM (bare)","C4 multi-language web crawl","ODC-BY","bare web text","parquet/text","https://huggingface.co/datasets/allenai/c4 (config 'multilingual' ar)","Unfiltered dirty web crawl with dedup; strong generic pretrain only - NOT vocalized.","","medium"
"CALM / arwiki","HF: CALM/arwiki (EU CALM project)","raw-LM (bare)","arwiki full articles","unknown (card says 'unknown')","bare","parquet","https://huggingface.co/datasets/CALM/arwiki","Alternative flattened Wikipedia - adds nothing beyond wikimedia/wikipedia 20231101.ar.","","low"
"OSCAR 22.01 / mOSCAR (ar subset)","HF: oscar-corpus/mOSCAR (+ OSCAR 22.01)","raw-LM (bare)","mOSCAR ar-classified slice; mOSCAR ~32B tokens total","CC-BY-4.0 (mOSCAR card) / CC0 for OSCAR 22.01","bare crawl","parquet/jsonl","https://huggingface.co/datasets/oscar-corpus/mOSCAR","Web-crawl mixed-language with ar slice; one pilot shard for G1 bare-text mixing is enough.","","medium"
"Arabic Wikipedia 2023-01-01 no-bots","HF: SaiedAlshahrani/Arabic_Wikipedia_20230101_nobots","raw-LM (bare)","~2023-01-01 Arabic wiki dump re-extracted (no bots)","MIT per card; content is Wikipedia CC-BY-SA 3.0/GFDL","bare","parquet/dump","https://huggingface.co/datasets/SaiedAlshahrani/Arabic_Wikipedia_20230101_nobots","Second cleaned bare-Arabic source; alternative to wikimedia/wikipedia.","","medium"
"AraTweets","HF: pain/Arabic-Tweets (aka AraTweets)","raw-LM social/dialectal","millions of tweets across Arabic dialects","CC-BY-4.0","bare, dialectal + MSA mix","parquet","https://huggingface.co/datasets/pain/Arabic-Tweets","Only dialectal social-media bare set with a clean CC-BY license - nice G1 diversity slice; not vocalized so not for the vocalization rungs.","","medium"
"ArabicaQA","HF: abdoelsayed/ArabicaQA (+ Open-ArabicaQA)","QA/other (MSA comprehension)","~25K paragraphs, 44K MCQ (paper 2406.15994/-like)","unknown (no card explicit CC license)","bare","jsonl/parquet","https://huggingface.co/datasets/abdoelsayed/ArabicaQA","MSA comprehension QA - not a rawLM body; only relevant if we later add MSA reading-prompt rungs (out of current scope).","","low"
"Alpaca-Arabic (instruct)","HF: FreedomIntelligence/alpaca-gpt4-arabic; arbml/alpaca_arabic; Yasbok/Alpaca_arabic_instruct","other (instruction)","~50-60k instruction pairs","unknown / CC-BY-NC variants upstream","bare","jsonl {instruction,input,output}","https://huggingface.co/datasets/FreedomIntelligence/alpaca-gpt4-arabic","Relevant only if we later add G5 'diacritize via instruction' - out of current four rungs.","","low"
"Arabic-English code-switching","HF: MohamedRashad/arabic-english-code-switching; MagedSaeed/arabic-english-code-switching-text","other (code-switch)","~5-10K utterances","unknown","bare, code-switched","jsonl/csv","https://huggingface.co/datasets/MohamedRashad/arabic-english-code-switching","Code-switch slice: not vocalized, tiny, license unclear; out of scope for the tashkeel rungs.","","low"
"ZAEBUC (CAMeL-Lab bilingual essays)","GitHub: CAMeL-Lab/zaebuc; LREC 2026 / ZAEBUC paper LREC 2022","other (bilingual essay, morph tags)","~60 essays (Arabic+English)","MIT (code); data research-only per LREC paper","bare + morph-tagged (no full vocalization)","jsonl/word.conll","https://github.com/CAMeL-Lab/zaebuc","Dialect-adjacent bilingual essays with morphology; not useful for the four vocalization rungs themselves.","","low"
"CAMeL Tools / camel_data open corpora","GitHub: CAMeL-Team/CAMeL-Tools (+CAMeL-Lab/camel_morph; camel_data_open bundle: EMA, KHA, ARZ, BSA etc.)","morphology / analyzer","many corpora + analyzer models","MIT code; corpora carry their own licenses per dataset","bare + morph analyses","camel_tools pipeline","pip install camel-tools + camel_data_open","Analyzer suite not a dataset; heavy to set up and license-fragmented; out of the char-LM ladder.","","low"
"Farasa (QCRI)","GitHub: MagedSaeed/Farasa + web API farasa.qcri.org","morphology / diacritizer tool","tools + small test sets","research-only (QCRI license for models)","tool","web/api/py","https://farasa.qcri.org/","Diacritizer/segmenter TOOL not a dataset; useful as reference baseline only.","","low/unusable"
"KACST Arabic Language Database (KALD)","KACST (King Abdulaziz City).","speech (asr + transcripts)","40M-word speech corpus + hours of audio with text transcripts","research-only, KACST licensing; not openly distributed","speech; transcripts not fully vocalized","proprietary","https://www.kacst.edu.sa","SPEECH corpus; no open download hub; not fetchable here.","","unusable"
"KSUCCA (King Saud University Classical Arabic Corpus)","King Saud University; secondary host Sketch Engine (paper 81860)","raw-LM classical","50M words","research access via Sketch Engine; no open snapshot","partially vocalized classical","corpus license registrar","https://www.sketchengine.eu/corpus/classical_arabic_corpus/","Classical Arabic 50M-word reference; access is BEHIND Sketch-Engine (not directly downloadable); useful only as baseline reference.","","medium (restricted)"
"Quranic Arabic Corpus","corpus.quran.com (Usama K. Adilbeku)","vocalized Quran morphology","877,430 words across 6,236 verses","research-only GPL-license notes on download page","fully vocalized + morphological gold annotation","txt database / morphology 0.4 txt","https://corpus.quran.com/download/","Fully-vocalized small classical Quran body + rich morphology. Well-matched to G2/G3 Quran rungs if a different gold from Abdou quran-riwayat is needed.","","medium-high"
"Tanzil Quran texts","tanzil.net/download","vocalized","full Quran in ~10 riwayat; Uthmani + Imlaeki notations","CC BY-ND 3.0 (tanzil.net/docs/text_license)","fully vocalized","txt/utf8","https://tanzil.net/download/","Attribution-only (BY) but No-Derivatives restricts text modification - use inside training OK if no derived texts are redistributed.","","medium"
"Misraj mudd (gated research group data)","HF: Misraj/mudd (misraj-ai)","other/instruction-MSA","unknown (gated=manual)","unknown","?","?","https://huggingface.co/datasets/Misraj/mudd","Misraj group gated data room - may contain tashkeel + MSA instruction data; only request access if we later need Arabic SFT.","","low (gated)"
"NADI 2025 (multidialectal speech)","nadi.dlnlp.ai/2025; arXiv:2509.02038","asr (dialect; speech)","audio hours + text multi-dialect","research (shared task terms)","speech (audio) + transcripts","audio","https://nadi.dlnlp.ai/2025/index.html","Dialectal speech; transcript-level tashkeel restoration only; no dataset files here.","","unusable"
"YAMAMA (multi-dialect morphological analyzer)","Yamama Analyzer (paper YAMAMA; approach of YaMDA)","morphology (dialect)","??","unknown","bare + analyses","tool","?","Dialectal morph analyzer; not useful for the vocalization ladder.","","low"
"Arabic Corpus 2B","HF: tarekeldeeb/ArabicCorpus2B","raw-LM (bare)","~2B tokens claimed","license 'other' - unclear","mostly bare","parquet/jsonl","https://huggingface.co/datasets/tarekeldeeb/ArabicCorpus2B","Very large but 'other' license, no vocalization - only if bare-text mixing is wanted.","","low-medium"
"riotu-lab tashkeel-arabic-sentences","HF: riotu-lab/tashkeel-arabic-sentences","diacritization (fully)","sentence subset","'CC' per card (specific flavor unclear)","fully tashkeeled sentences","csv/jsonl","https://huggingface.co/datasets/riotu-lab/tashkeel-arabic-sentences","Small vocalized-sentence mirror; redundant but license freer - check exact CC flavor.","","medium"
