line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
184,91,86,5,49,162,135,18,0,10,91
185,67,60,3,32,105,96,9,2,10,67
186,75,67,2,31,124,98,52,2,10,75
187,51,45,0,22,92,72,31,0,6,51
188,22,20,1,9,33,27,4,0,3,22
189,44,38,0,15,69,65,11,2,6,44
190,77,68,4,36,110,103,13,2,13,77
191,56,52,1,22,95,95,14,0,5,56
192,6,6,0,3,10,13,1,0,0,6
193,39,37,1,19,75,58,14,0,3,39
194,56,51,2,24,95,74,17,0,7,56
195,19,17,0,6,26,30,2,2,2,19
196,16,14,0,4,21,27,3,0,2,16
197,12,12,0,6,26,23,6,0,0,12
198,84,78,3,37,146,130,14,6,9,84
199,57,51,3,25,99,78,16,4,9,57
200,53,46,3,25,88,69,13,1,10,53
201,48,45,1,23,83,64,23,2,4,48
202,51,45,3,25,87,69,19,1,9,51
203,79,71,6,45,136,92,23,2,14,79
204,9,9,0,2,14,6,24,0,0,9
205,118,101,8,55,205,144,47,0,25,118
206,97,83,2,37,173,147,31,1,16,97
207,115,105,4,57,199,165,41,1,14,115
208,9,8,0,2,8,19,0,0,1,9
209,55,51,1,24,81,71,10,2,5,55
210,62,50,1,26,82,86,15,1,13,62
211,31,29,2,20,57,46,9,0,4,31
212,33,29,3,19,53,41,3,2,7,33
213,40,36,3,15,53,59,6,0,7,40
214,9,9,1,4,11,18,0,0,1,9
215,82,74,5,35,134,121,37,0,13,82
216,83,74,2,33,127,111,36,3,11,83
217,43,39,0,14,61,57,20,0,4,43
218,8,8,0,2,8,17,1,1,0,8
219,32,25,1,11,37,40,5,1,8,32
220,87,74,3,41,135,116,25,1,16,87
221,34,31,2,17,51,47,10,0,5,34
222,4,4,0,3,9,7,0,0,0,4
223,43,40,0,25,79,63,5,0,3,43
224,30,28,1,16,55,45,2,0,3,30
225,35,31,4,17,62,41,7,0,8,35
226,38,33,4,19,56,44,5,2,9,38
227,31,29,1,18,54,45,5,0,2,31
228,9,9,0,2,16,18,2,0,0,9
229,31,28,1,10,42,43,18,0,4,31
230,42,36,1,14,62,52,28,0,7,42
231,27,23,1,10,36,42,5,0,5,27
232,49,41,1,26,83,68,6,1,9,49
233,10,10,0,5,12,15,0,2,0,10
234,25,21,2,9,33,27,8,2,6,25
235,37,31,1,11,50,57,7,0,7,37
236,28,24,2,11,43,37,9,0,6,28
237,17,15,1,11,28,14,4,0,3,17
238,32,28,2,18,51,43,3,0,6,32
239,47,36,4,21,66,49,9,0,15,47
240,10,9,2,4,14,17,0,0,3,10
241,26,21,2,16,40,24,4,0,7,26
242,61,59,6,33,103,85,16,1,8,61
243,37,36,5,17,51,55,4,2,6,37
244,46,44,4,19,70,62,11,0,6,46
245,6,6,0,1,10,13,4,0,0,6
246,32,31,3,11,48,51,12,1,4,32
247,117,110,5,60,211,159,39,1,12,117
248,8,6,0,1,13,6,8,0,2,8
249,193,181,13,93,302,278,35,3,25,193
250,9,9,1,6,19,12,2,0,1,9
251,148,119,9,62,205,167,26,4,38,148
252,13,13,0,5,22,24,0,0,0,13
253,29,25,0,14,44,36,5,1,4,29
254,3,3,0,0,3,4,3,0,0,3
255,53,50,0,33,88,75,6,1,3,53
256,3,3,0,1,4,3,3,0,0,3
257,42,40,2,21,74,59,9,0,4,42
258,1,1,0,0,2,1,1,0,0,1
259,27,26,1,10,42,46,6,0,2,27
260,11,11,2,5,21,20,1,1,2,11
261,42,35,2,21,65,50,8,2,9,42
262,47,44,3,18,72,72,5,1,6,47
263,14,13,1,6,23,19,6,0,2,14
264,44,39,6,28,68,52,3,0,11,44
265,40,36,3,19,68,54,9,0,7,40
266,50,45,1,23,72,75,6,1,6,50
267,43,40,1,25,67,50,13,1,4,43
268,56,51,5,22,82,73,18,0,10,56
269,50,48,2,19,67,61,21,0,4,50
270,8,8,0,5,12,14,0,1,0,8
271,56,42,5,27,75,70,5,0,19,56
272,75,67,1,30,90,103,17,2,9,75
273,6,6,0,5,13,6,4,0,0,6
274,84,71,4,39,126,104,13,4,17,84
275,14,12,1,5,21,24,2,0,3,14
276,51,46,0,24,85,74,15,1,5,51
277,43,39,2,16,65,61,10,0,6,43
278,13,12,1,6,20,16,5,0,2,13
279,63,52,5,31,82,72,8,3,16,63
280,21,17,1,8,33,29,2,1,5,21
281,11,10,0,7,17,13,0,2,1,11
282,71,58,4,29,102,98,9,1,17,71
283,107,94,5,50,171,136,32,3,18,107
284,13,12,0,8,24,19,0,0,1,13
285,25,23,2,11,36,39,3,2,4,25
286,12,8,1,6,16,7,6,0,5,12
287,11,10,1,3,15,19,5,0,2,11
288,48,39,3,27,71,58,4,1,12,48
289,18,13,1,6,21,26,2,0,6,18
290,15,12,1,5,21,20,4,0,4,15
291,10,5,0,1,6,9,3,0,5,10
292,15,13,0,3,19,30,0,0,2,15
293,11,9,0,1,16,24,0,0,2,11
294,62,52,3,23,91,98,9,0,13,62
295,38,34,2,17,55,51,4,2,6,38
296,51,45,4,24,77,59,20,0,10,51
297,44,36,1,17,68,69,9,1,9,44
298,5,5,0,2,9,12,0,0,0,5
299,60,55,5,25,93,70,32,0,10,60
300,33,31,2,12,52,58,4,1,4,33
301,63,55,5,34,104,75,15,2,13,63
302,7,7,1,5,12,5,5,0,1,7
303,54,50,1,31,95,69,17,1,5,54
304,56,48,0,23,83,78,10,0,8,56
305,34,32,4,18,66,45,15,0,6,34
306,7,7,0,2,6,12,0,0,0,7
307,38,35,2,13,42,50,10,1,5,38
308,51,46,3,26,85,59,12,0,8,51
309,40,35,2,23,65,42,8,2,7,40
310,40,32,3,15,42,36,7,1,11,40
311,9,9,2,6,16,12,2,0,2,9
312,29,25,3,14,49,37,5,0,7,29
313,37,32,2,12,51,49,5,1,7,37
314,33,30,2,17,55,45,7,2,5,33
315,25,17,3,10,31,28,0,1,11,25
316,15,14,0,10,27,23,2,1,1,15
317,27,23,2,15,45,32,9,0,6,27
318,16,15,1,9,30,20,7,0,2,16
319,24,21,0,7,28,23,13,0,3,24
320,29,25,0,12,40,44,7,1,4,29
321,44,38,1,15,65,71,13,0,7,44
322,28,24,1,12,44,30,12,0,5,28
323,39,32,3,18,53,44,9,0,10,39
324,11,10,1,6,17,14,2,0,2,11
325,22,20,0,8,36,39,1,1,2,22
326,34,29,2,10,46,59,4,0,7,34
327,37,32,1,14,52,50,12,0,6,37
328,42,34,3,18,56,44,18,0,11,42
329,23,22,1,17,40,28,7,0,2,23
330,28,25,1,11,40,41,2,1,4,28
331,13,13,0,5,12,13,8,0,0,13
332,542,466,32,251,795,678,126,10,108,542
333,10,8,0,5,14,7,7,0,2,10
334,32,29,1,21,54,36,8,1,4,32
335,86,83,5,58,165,100,31,2,8,86
336,67,62,6,32,106,82,18,1,10,67
337,66,61,4,33,106,84,17,0,9,66
338,42,41,6,23,74,49,9,1,7,42
339,13,13,2,6,26,24,3,0,2,13
340,67,62,0,30,120,103,20,0,5,67
341,50,47,2,28,91,65,21,3,5,50
342,43,35,2,19,70,43,12,1,10,43
343,23,20,0,9,34,25,12,0,3,23
344,64,59,1,30,113,97,26,2,6,64
345,22,21,1,11,40,28,8,1,2,22
346,9,9,0,5,15,11,5,1,0,9
347,78,72,5,48,141,104,18,2,11,78
348,79,71,4,41,133,120,9,1,12,79
349,36,33,2,22,63,50,7,0,5,36
350,60,55,0,32,105,89,14,3,5,60
351,32,30,0,19,59,41,10,0,2,32
352,37,35,3,20,64,66,9,0,5,37
353,58,52,0,26,89,86,16,1,6,58
354,49,41,3,21,78,72,6,0,11,49
355,29,27,2,15,58,41,12,2,4,29
356,10,10,0,4,19,15,3,0,0,10
357,68,61,4,33,112,88,7,1,11,68
358,70,63,3,27,113,119,10,1,10,70
359,58,54,3,28,101,87,18,1,7,58
360,29,27,3,18,53,40,11,0,5,29
361,11,11,0,7,29,21,1,0,0,11
362,40,37,3,16,71,72,5,0,6,40
363,67,52,4,29,89,73,10,2,19,67
364,52,40,2,23,73,58,20,0,14,52
365,60,53,5,33,90,76,12,0,12,60
366,14,14,0,6,28,31,4,0,0,14
367,67,55,3,21,99,90,27,0,15,67
368,80,63,2,29,122,117,13,1,19,80
369,34,32,0,19,65,52,12,0,2,34
370,42,35,1,16,65,66,8,0,8,42
371,7,7,0,2,12,16,1,0,0,7
372,72,68,3,26,110,110,20,1,7,72
373,50,44,2,20,68,77,6,0,8,50
374,58,52,1,24,93,87,17,0,7,58
375,50,43,4,20,78,68,6,1,11,50
376,40,35,2,23,71,48,13,0,7,40
377,7,6,0,5,13,7,2,0,1,7
378,45,43,5,24,80,63,13,0,7,45
379,26,24,2,14,43,35,4,1,4,26
380,51,37,3,26,62,48,7,0,17,51
381,35,34,2,21,63,54,8,0,3,35
382,7,7,0,3,11,11,0,0,0,7
383,25,23,0,15,41,31,5,1,2,25
384,50,45,2,26,89,58,27,0,7,50
385,21,16,2,8,24,21,4,0,7,21
386,10,9,1,6,16,11,0,1,2,10
387,7,7,1,2,7,9,2,0,1,7
388,59,54,4,30,88,73,9,2,9,59
389,36,33,2,17,58,54,2,2,5,36
390,53,41,2,28,81,62,5,2,12,53
391,50,47,2,30,94,71,10,0,5,50
392,46,42,1,20,64,58,24,0,5,46
